date,ticker,open,high,low,close,adj_close,ajexdi,volume
2021-01-04,AAPL,133.52,133.6116,126.76,129.41,129.4100,1,142944200
2021-01-04,AMZN,3270,3272,3144.02,3186.63,159.3315,20,4400098
2021-01-04,GOOGL,1760,1762.4899,1707.14,1726.13,86.3065,20,1864670
2021-01-04,JNJ,157.24,157.38,154.13,156.5,156.5000,1,11763050
2021-01-04,JPM,127.5,127.8579,124.78,125.87,125.8700,1,16806050
2021-01-04,META,274.78,275,265.2,268.94,268.9400,1,15073450
2021-01-04,MSFT,222.53,223,214.81,217.69,217.6900,1,37107740
2021-01-04,NVDA,524.17,546.0999,518.5,524.54,13.1135,40,13995990
2021-01-04,WMT,144.3,146.89,144.28,146.53,48.8433,3,10693880
2021-01-04,XOM,41.45,42.245,41,41.5,41.5000,1,27743100
2021-01-05,AAPL,128.89,131.74,128.43,131.01,131.0100,1,97228220
2021-01-05,AMZN,3166.01,3223.38,3165.06,3218.51,160.9255,20,2644098
2021-01-05,GOOGL,1725.09,1746.83,1716.9,1740.05,87.0025,20,1016401
2021-01-05,JNJ,156.25,158.76,155.07,158.34,158.3400,1,9598184
2021-01-05,JPM,124.99,126.2995,123.77,125.65,125.6500,1,13722800
2021-01-05,META,268.29,272.4,268.2111,270.97,270.9700,1,9853634
2021-01-05,MSFT,217.26,218.52,215.7,217.9,217.9000,1,23795630
2021-01-05,NVDA,523.99,537.74,523.48,536.19,13.4048,40,8035226
2021-01-05,WMT,146.6,147.07,144.49,145.75,48.5833,3,8822808
2021-01-05,XOM,41.84,44.8,41.83,43.5,43.5000,1,43938940
2021-01-06,AAPL,127.72,131.0499,126.382,126.6,126.6000,1,154329500
2021-01-06,AMZN,3146.48,3197.509,3131.16,3138.38,156.9190,20,4374063
2021-01-06,GOOGL,1700.255,1743.965,1696.1014,1722.88,86.1440,20,2327298
2021-01-06,JNJ,157.24,160.23,156.72,159.83,159.8300,1,8227709
2021-01-06,JPM,129.88,132.77,127.88,131.55,131.5500,1,24894120
2021-01-06,META,262,267.75,260.01,263.31,263.3100,1,24304700
2021-01-06,MSFT,212.17,216.4899,211.94,212.25,212.2500,1,35853150
2021-01-06,NVDA,528.9,529.8,503.44,504.58,12.6145,40,14453120
2021-01-06,WMT,145.09,148.1,145.0111,146.66,48.8867,3,7297089
2021-01-06,XOM,44.41,45.1,43.7,44.61,44.6100,1,36457700
2021-01-07,AAPL,128.36,131.63,127.86,130.92,130.9200,1,108479600
2021-01-07,AMZN,3157,3208.542,3155,3162.16,158.1080,20,3492558
2021-01-07,GOOGL,1726.76,1777.82,1726.76,1774.34,88.7170,20,2087088
2021-01-07,JNJ,159,161.03,158.35,160.37,160.3700,1,7740999
2021-01-07,JPM,135.69,138.19,134.92,135.87,135.8700,1,21848320
2021-01-07,META,265.9,271.61,264.78,268.74,268.7400,1,15698580
2021-01-07,MSFT,214.04,219.34,213.71,218.29,218.2900,1,27539240
2021-01-07,NVDA,518.7,535.11,515.4601,533.76,13.3440,40,11509110
2021-01-07,WMT,147.62,147.76,146.04,146.65,48.8833,3,6840123
2021-01-07,XOM,45,45.57,44.53,44.96,44.9600,1,29514140
2021-01-08,AAPL,132.43,132.63,130.23,132.05,132.0500,1,104896100
2021-01-08,AMZN,3180,3190.64,3142.2,3182.7,159.1350,20,3532293
2021-01-08,GOOGL,1777.16,1799.355,1761.22,1797.83,89.8915,20,1773178
2021-01-08,JNJ,160.51,161.1,159.88,160.04,160.0400,1,8224810
2021-01-08,JPM,135.97,136.35,134.12,136.02,136.0200,1,12014070
2021-01-08,META,268.31,268.95,263.18,267.57,267.5700,1,18504680
2021-01-08,MSFT,218.68,220.58,217.0261,219.62,219.6200,1,22941780
2021-01-08,NVDA,534.5,536.8399,521.68,531.07,13.2768,40,7298195
2021-01-08,WMT,146.88,147,145.81,146.63,48.8767,3,8155588
2021-01-08,XOM,45.2,45.82,44.95,45.46,45.4600,1,28608260
2021-01-11,AAPL,129.19,130.17,128.5,128.98,128.9800,1,100150800
2021-01-11,AMZN,3148.01,3156.3841,3110,3114.21,155.7105,20,3651838
2021-01-11,GOOGL,1777.02,1784.38,1752.14,1756.29,87.8145,20,1739011
2021-01-11,JNJ,160.56,161.32,158.77,159.37,159.3700,1,7065951
2021-01-11,JPM,134.58,138.2,134.11,138.05,138.0500,1,15935590
2021-01-11,META,260.48,263.47,255.9,256.84,256.8400,1,30316430
2021-01-11,MSFT,218.47,218.91,216.73,217.49,217.4900,1,23021580
2021-01-11,NVDA,536.75,558.44,534.5,544.86,13.6215,40,12953340
2021-01-11,WMT,146,147.99,146,147.29,49.0967,3,8726028
2021-01-11,XOM,45.04,47.135,44.75,46.84,46.8400,1,38238340
2021-01-12,AAPL,128.5,129.69,126.86,128.8,128.8000,1,91262240
2021-01-12,AMZN,3120,3142.1418,3086,3120.83,156.0415,20,3466246
2021-01-12,GOOGL,1745.36,1767.9,1716.375,1737.43,86.8715,20,1461108
